C;Day-Ahead Energy Market Historical Offer Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Filename: hbdayaheadenergyoffer_20230520.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report for: 05/20/2023 - 05/20/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;Report generated: 09/01/2023 14:43:48 EDT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;Day;Trading Interval;Masked Lead Participant ID;Masked Asset ID;Must Take Energy;Maximum Daily Energy Available;Economic Maximum;Economic Minimum;Cold Startup Price;Intermediate Startup Price;Hot Startup Price;No Load Price;Segment 1 Price;Segment 1 MW;Segment 2 Price;Segment 2 MW;Segment 3 Price;Segment 3 MW;Segment 4 Price;Segment 4 MW;Segment 5 Price;Segment 5 MW;Segment 6 Price;Segment 6 MW;Segment 7 Price;Segment 7 MW;Segment 8 Price;Segment 8 MW;Segment 9 Price;Segment 9 MW;Segment 10 Price;Segment 10 MW;Claim 10;Claim 30;Unit Status
H;Date;String;Number;Number;Number;Number;Number;Number;$;$;$;$;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;$;MW;MW;MW;String
D;05/20/2023;1;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;2;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;3;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;4;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;5;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;6;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;7;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;8;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;9;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
D;05/20/2023;10;20721;91570;0;0;40.5;25;3186;3186;3186;671;31.03;25;31.04;5.2;31.05;5.1;31.06;5.2;;;;;;;;;;;;;0;0;ECONOMIC
